2020/03/20 17:12:12 [error] 10332#0: *745 connect() failed (111: Connection refused) while connecting to upstream, client: 10.80.25.173, server: diagame.informatics.buu.ac.th, request: "GET /tutorial HTTP/1.1", upstream: "http://127.0.0.1:5000/tutorial", host: "diagame.informatics.buu.ac.th"
2020/03/20 17:12:12 [error] 10332#0: *745 connect() failed (111: Connection refused) while connecting to upstream, client: 10.80.25.173, server: diagame.informatics.buu.ac.th, request: "GET /nginx-logo.png HTTP/1.1", upstream: "http://127.0.0.1:5000/nginx-logo.png", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/tutorial"
2020/03/20 17:12:12 [error] 10332#0: *748 connect() failed (111: Connection refused) while connecting to upstream, client: 10.80.25.173, server: diagame.informatics.buu.ac.th, request: "GET /poweredby.png HTTP/1.1", upstream: "http://127.0.0.1:5000/poweredby.png", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/tutorial"
2020/03/20 17:12:13 [error] 10332#0: *745 connect() failed (111: Connection refused) while connecting to upstream, client: 10.80.25.173, server: diagame.informatics.buu.ac.th, request: "GET /tutorial HTTP/1.1", upstream: "http://127.0.0.1:5000/tutorial", host: "diagame.informatics.buu.ac.th"
2020/03/20 17:12:13 [error] 10332#0: *745 connect() failed (111: Connection refused) while connecting to upstream, client: 10.80.25.173, server: diagame.informatics.buu.ac.th, request: "GET /nginx-logo.png HTTP/1.1", upstream: "http://127.0.0.1:5000/nginx-logo.png", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/tutorial"
2020/03/20 17:12:13 [error] 10332#0: *748 connect() failed (111: Connection refused) while connecting to upstream, client: 10.80.25.173, server: diagame.informatics.buu.ac.th, request: "GET /poweredby.png HTTP/1.1", upstream: "http://127.0.0.1:5000/poweredby.png", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/tutorial"
2020/03/20 17:12:13 [error] 10331#0: *755 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/incorrect.wav HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/incorrect.wav", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:13 [error] 10332#0: *754 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/pop.mp3 HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/pop.mp3", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:13 [error] 10331#0: *761 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/correct.wav HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/correct.wav", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:13 [error] 10331#0: *757 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/drop.wav HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/drop.wav", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:13 [error] 10331#0: *759 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/complete.mp3 HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/complete.mp3", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:13 [error] 10331#0: *758 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/achievement.mp3 HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/achievement.mp3", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:14 [error] 10332#0: *754 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/sound-fun.mp3 HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/sound-fun.mp3", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:14 [error] 10331#0: *755 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/click.mp3 HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/click.mp3", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:14 [error] 10331#0: *757 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/step.mp3 HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/step.mp3", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:14 [error] 10331#0: *761 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/step-end.mp3 HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/step-end.mp3", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:15 [error] 10331#0: *761 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/svg/flag/thailand.svg HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/svg/flag/thailand.svg", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/stylesheets/diagame.css"
2020/03/20 17:12:15 [error] 10331#0: *757 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/svg/flag/united-kingdom.svg HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/svg/flag/united-kingdom.svg", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/stylesheets/diagame.css"
2020/03/20 17:12:15 [error] 10332#0: *754 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/svg/setting/speaker.svg HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/svg/setting/speaker.svg", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/stylesheets/diagame-game.css"
2020/03/20 17:12:15 [error] 10331#0: *755 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/svg/setting/close.svg HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/svg/setting/close.svg", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/stylesheets/diagame-game.css"
2020/03/20 17:12:15 [error] 10331#0: *758 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/svg/setting/music-note.svg HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/svg/setting/music-note.svg", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/stylesheets/diagame-game.css"
2020/03/20 17:12:15 [error] 10331#0: *759 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/pop.mp3 HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/pop.mp3", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:15 [error] 10331#0: *757 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/drop.wav HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/drop.wav", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:15 [error] 10331#0: *761 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/incorrect.wav HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/incorrect.wav", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:15 [error] 10332#0: *754 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/correct.wav HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/correct.wav", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:15 [error] 10331#0: *758 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/complete.mp3 HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/complete.mp3", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:15 [error] 10331#0: *759 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/achievement.mp3 HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/achievement.mp3", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:15 [error] 10331#0: *757 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/click.mp3 HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/click.mp3", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:15 [error] 10331#0: *761 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/sound-fun.mp3 HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/sound-fun.mp3", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:15 [error] 10332#0: *782 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/step.mp3 HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/step.mp3", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:15 [error] 10332#0: *754 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/step-end.mp3 HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/step-end.mp3", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:16 [error] 10332#0: *754 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/pop.mp3 HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/pop.mp3", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:16 [error] 10332#0: *782 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/drop.wav HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/drop.wav", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:16 [error] 10331#0: *761 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/incorrect.wav HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/incorrect.wav", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:16 [error] 10331#0: *759 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/complete.mp3 HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/complete.mp3", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:16 [error] 10331#0: *758 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/achievement.mp3 HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/achievement.mp3", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:16 [error] 10331#0: *757 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/correct.wav HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/correct.wav", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:16 [error] 10332#0: *754 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/click.mp3 HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/click.mp3", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:16 [error] 10332#0: *782 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/step.mp3 HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/step.mp3", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:16 [error] 10331#0: *761 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/sound-fun.mp3 HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/sound-fun.mp3", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:16 [error] 10331#0: *758 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /assets/sound/step-end.mp3 HTTP/1.1", upstream: "http://127.0.0.1:5000/assets/sound/step-end.mp3", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:44 [error] 1220#0: *5 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /leaderboard HTTP/1.1", upstream: "http://127.0.0.1:5000/leaderboard", host: "diagame.informatics.buu.ac.th"
2020/03/20 17:12:44 [error] 1220#0: *5 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /nginx-logo.png HTTP/1.1", upstream: "http://127.0.0.1:5000/nginx-logo.png", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:12:44 [error] 1220#0: *4 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /poweredby.png HTTP/1.1", upstream: "http://127.0.0.1:5000/poweredby.png", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:13:03 [error] 1220#0: *4 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /leaderboard HTTP/1.1", upstream: "http://127.0.0.1:5000/leaderboard", host: "diagame.informatics.buu.ac.th"
2020/03/20 17:13:04 [error] 1220#0: *4 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /nginx-logo.png HTTP/1.1", upstream: "http://127.0.0.1:5000/nginx-logo.png", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:13:04 [error] 1220#0: *5 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /poweredby.png HTTP/1.1", upstream: "http://127.0.0.1:5000/poweredby.png", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:13:05 [error] 1220#0: *5 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /leaderboard HTTP/1.1", upstream: "http://127.0.0.1:5000/leaderboard", host: "diagame.informatics.buu.ac.th"
2020/03/20 17:13:05 [error] 1220#0: *4 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /poweredby.png HTTP/1.1", upstream: "http://127.0.0.1:5000/poweredby.png", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:13:05 [error] 1220#0: *5 connect() failed (111: Connection refused) while connecting to upstream, client: 10.70.20.249, server: diagame.informatics.buu.ac.th, request: "GET /nginx-logo.png HTTP/1.1", upstream: "http://127.0.0.1:5000/nginx-logo.png", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/leaderboard"
2020/03/20 17:13:50 [error] 1220#0: *16 connect() failed (111: Connection refused) while connecting to upstream, client: 10.80.25.173, server: diagame.informatics.buu.ac.th, request: "GET /tutorial HTTP/1.1", upstream: "http://127.0.0.1:5000/tutorial", host: "diagame.informatics.buu.ac.th"
2020/03/20 17:13:50 [error] 1220#0: *16 connect() failed (111: Connection refused) while connecting to upstream, client: 10.80.25.173, server: diagame.informatics.buu.ac.th, request: "GET /nginx-logo.png HTTP/1.1", upstream: "http://127.0.0.1:5000/nginx-logo.png", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/tutorial"
2020/03/20 17:13:50 [error] 1220#0: *19 connect() failed (111: Connection refused) while connecting to upstream, client: 10.80.25.173, server: diagame.informatics.buu.ac.th, request: "GET /poweredby.png HTTP/1.1", upstream: "http://127.0.0.1:5000/poweredby.png", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/tutorial"
2020/03/20 17:13:52 [error] 1220#0: *16 connect() failed (111: Connection refused) while connecting to upstream, client: 10.80.25.173, server: diagame.informatics.buu.ac.th, request: "GET /tutorial HTTP/1.1", upstream: "http://127.0.0.1:5000/tutorial", host: "diagame.informatics.buu.ac.th"
2020/03/20 17:13:52 [error] 1220#0: *19 connect() failed (111: Connection refused) while connecting to upstream, client: 10.80.25.173, server: diagame.informatics.buu.ac.th, request: "GET /nginx-logo.png HTTP/1.1", upstream: "http://127.0.0.1:5000/nginx-logo.png", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/tutorial"
2020/03/20 17:13:52 [error] 1220#0: *23 connect() failed (111: Connection refused) while connecting to upstream, client: 10.80.25.173, server: diagame.informatics.buu.ac.th, request: "GET /poweredby.png HTTP/1.1", upstream: "http://127.0.0.1:5000/poweredby.png", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/tutorial"
2020/03/20 17:13:52 [error] 1220#0: *16 connect() failed (111: Connection refused) while connecting to upstream, client: 10.80.25.173, server: diagame.informatics.buu.ac.th, request: "GET /nginx-logo.png HTTP/1.1", upstream: "http://127.0.0.1:5000/nginx-logo.png", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/tutorial"
2020/03/20 17:13:52 [error] 1220#0: *19 connect() failed (111: Connection refused) while connecting to upstream, client: 10.80.25.173, server: diagame.informatics.buu.ac.th, request: "GET /poweredby.png HTTP/1.1", upstream: "http://127.0.0.1:5000/poweredby.png", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/tutorial"
2020/03/20 17:13:55 [error] 1220#0: *16 connect() failed (111: Connection refused) while connecting to upstream, client: 10.80.25.173, server: diagame.informatics.buu.ac.th, request: "GET /nginx-logo.png HTTP/1.1", upstream: "http://127.0.0.1:5000/nginx-logo.png", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/tutorial"
2020/03/20 17:13:55 [error] 1220#0: *19 connect() failed (111: Connection refused) while connecting to upstream, client: 10.80.25.173, server: diagame.informatics.buu.ac.th, request: "GET /poweredby.png HTTP/1.1", upstream: "http://127.0.0.1:5000/poweredby.png", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/tutorial"
2020/03/20 17:13:55 [error] 1221#0: *29 connect() failed (111: Connection refused) while connecting to upstream, client: 10.80.25.173, server: diagame.informatics.buu.ac.th, request: "GET /tutorial HTTP/1.1", upstream: "http://127.0.0.1:5000/tutorial", host: "diagame.informatics.buu.ac.th"
2020/03/20 17:13:55 [error] 1221#0: *29 connect() failed (111: Connection refused) while connecting to upstream, client: 10.80.25.173, server: diagame.informatics.buu.ac.th, request: "GET /nginx-logo.png HTTP/1.1", upstream: "http://127.0.0.1:5000/nginx-logo.png", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/tutorial"
2020/03/20 17:13:55 [error] 1220#0: *32 connect() failed (111: Connection refused) while connecting to upstream, client: 10.80.25.173, server: diagame.informatics.buu.ac.th, request: "GET /poweredby.png HTTP/1.1", upstream: "http://127.0.0.1:5000/poweredby.png", host: "diagame.informatics.buu.ac.th", referrer: "http://diagame.informatics.buu.ac.th/tutorial"
